
2025/02/12 (11:42:02) | ===> btop++ v.1.4.0
2025/02/12 (11:42:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (13:44:04) | ===> btop++ v.1.4.0
2025/02/12 (13:44:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:04:03) | ===> btop++ v.1.4.0
2025/02/12 (19:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (20:16:16) | ===> btop++ v.1.4.0
2025/02/12 (20:16:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (20:22:06) | ===> btop++ v.1.4.0
2025/02/12 (20:22:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (20:35:16) | ===> btop++ v.1.4.0
2025/02/12 (20:35:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (21:34:08) | ===> btop++ v.1.4.0
2025/02/12 (21:34:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (21:34:13) | ===> btop++ v.1.4.0
2025/02/12 (21:34:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (21:48:30) | ===> btop++ v.1.4.0
2025/02/12 (21:48:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:02:33) | ===> btop++ v.1.4.0
2025/02/13 (22:02:33) | WARNING: Intel GPU: Failed to initialize PMU
